-6.06006 0 0 0 0
-11.9155 1 0 0 0
18.055 0 1 0 0
0.824893 0 0 1 0
5.72206 0 0 0 1
-36.472 2 0 0 0
91.6694 1 1 0 0
-54.3051 0 2 0 0
4.35064 1 0 1 0
-9.53886 0 1 1 0
-0.214786 0 0 2 0
6.72993 1 0 0 1
-10.295 0 1 0 1
-0.319121 0 0 1 1
-1.47492 0 0 0 2
1.53503 3 0 0 0
-4.18406 2 1 0 0
3.34656 1 2 0 0
-0.623531 0 3 0 0
7.3072 2 0 1 0
-18.2873 1 1 1 0
11.8008 0 2 1 0
-0.684456 1 0 2 0
1.09122 0 1 2 0
0.341106 0 0 3 0
18.2379 2 0 0 1
-45.5895 1 1 0 1
26.5585 0 2 0 1
0.308334 1 0 1 1
0.666892 0 1 1 1
-0.158677 0 0 2 1
-0.812466 1 0 0 2
1.39732 0 1 0 2
0.0186775 0 0 1 2
0.160152 0 0 0 3
