1 4.88339
2 4.62264
3 4.39031
4 4.18314
5 4.00166
6 3.84482
7 3.71303
8 3.60613
9 3.52449
10 3.46869
11 3.43981
12 3.42323
13 3.40906
14 3.3964
15 3.38607
16 3.37611
17 3.36725
18 3.36009
19 3.35305
20 3.34684
21 3.34135
22 3.33651
23 3.33216
24 3.32831
25 3.3253
26 3.3222
27 3.31942
28 3.31695
29 3.31479
30 3.31273
31 3.31086
32 3.30913
33 3.3081
34 3.30652
35 3.30498
36 3.30347
37 3.30231
38 3.3009
39 3.2995
40 3.29814
41 3.29691
42 3.29553
43 3.29423
44 3.2929
45 3.29151
46 3.29006
47 3.28862
48 3.28724
49 3.28579
50 3.28434
