111555 0
111556 1
111556 2
111556 0
111557 1
111557 2
111557 0
111558 1
111558 2
111558 0
111559 1
111559 2
111559 3
111559 0
111560 1
111560 2
111560 0
111561 1
111561 2
111561 0
111562 1
111562 2
111563 1
111563 2
111563 0
111564 1
111564 2
111564 0
111565 1
111565 2
111565 0
111566 1
111566 2
111566 0
111567 1
111567 2
111567 0
111568 1
111568 2
111568 0
111569 1
111569 2
111569 0
111570 1
111570 2
111570 0
111571 1
111571 2
111571 0
111572 1
111572 2
111572 0
111573 1
111573 2
111573 0
111574 1
111574 2
111574 0
111575 1
111575 2
111575 0
111576 1
111576 2
111576 0
111568 1
111568 2
111568 0
111569 1
111569 2
111569 0
111570 1
111570 2
111570 0
111571 1
111571 2
111571 0
111572 1
111572 2
111572 0
111573 1
111573 2
111573 0
111574 1
111574 2
111574 0
111575 1
111575 2
111575 0
111576 1
111576 2
111576 0
