111480 1
111480 2
111480 0
111481 1
111481 2
111481 0
111482 1
111482 2
111482 0
111483 0
111484 1
111484 2
111484 3
111484 0
111485 1
111485 2
111485 0
111486 0
111487 1
111487 2
111487 0
111488 1
111488 2
111488 0
111489 1
111489 2
111489 0
111490 1
111490 2
111490 0
111491 1
111491 2
111491 0
111492 1
111492 2
111492 0
111493 1
111493 2
111493 0
111494 1
111494 2
111494 0
111495 0
111498 1
111498 0
111499 1
111499 2
111499 0
111500 1
111500 0
111501 1
111501 2
111501 0
111502 1
111502 2
111502 3
111502 0
111503 1
111503 2
111503 0
111504 1
111504 2
111504 0
111505 1
111505 2
111505 0
111506 1
111506 2
111506 0
111507 1
111507 2
111507 0
