0 -0.244828 0.0797975 22.551 0.0583484 399.738 4.10753
1 -0.0194856 0.0840211 23.0793 0.0618288 399.478 4.17535
2 -0.017515 0.0963016 25.5358 0.0664187 403.123 4.3613
3 0.162979 0.0714365 18.4678 0.0495124 436.839 4.03875
4 -0.0356638 0.132009 32.04 0.0962564 425.399 4.00832
5 -0.0753444 0.0650463 16.1689 0.0473658 434.34 3.59072
6 0.0589312 0.0904644 22.1526 0.0654279 406.324 3.89144
7 -0.02761 0.121908 29.7091 0.0863083 394.059 3.19621
8 0.170726 0.0831001 20.7608 0.0605929 404.156 5.31569
9 -0.267303 0.0966831 23.5737 0.0673341 435.828 3.56866
10 -0.206539 0.124877 19.2695 0.0571146 452.456 3.45956
11 0.199375 0.0873305 24.5795 0.0637516 504.766 5.4437
12 0.296759 0.146041 38.2763 0.101812 406.246 3.56304
13 0.104989 0.0779318 21.9844 0.0551124 409.906 8.9576
14 0.775396 0.09759 26.7272 0.0719247 381.452 3.50639
15 0.416317 0.0915942 24.6121 0.0658421 385.011 3.83884
16 -0.518905 0.101471 26.225 0.076019 392.629 4.25711
17 0.291206 0.102073 25.0909 0.0748203 410.105 4.28606
18 0.109142 0.0864933 21.3235 0.0640118 419.481 3.55483
19 0.0918005 0.0693434 17.3113 0.0496302 414.147 3.46157
20 -0.634943 0.0743273 18.9045 0.0544209 393.484 3.67531
21 -0.144683 0.101327 25.8438 0.0745641 412.332 3.65352
22 -0.138227 0.104531 28.082 0.0740888 426.754 4.90247
23 0.386325 0.0932806 27.5799 0.0734838 450.937 3.63524
24 -0.115166 0.07442 19.5726 0.0526378 434.365 2.51129
25 -0.0994223 0.087728 17.6567 0.0497169 415.681 3.95051
